"2-tBu-4,5-diMe phenol","2-iPr-4,5-diMe phenol","2-Et-4,5-diMe phenol","2,4,5-triMe phenol","3,5-diMeO-4-Me phenol","2,3,5-trimethyl","3,4,5-trimethylphenol","2,3-dimethyl ","2,5-dimethyl","3,4-dimethyl","3,5-dimethyl ","2,4-dimethyl","2-Br-4,5-dimethyl phenol","2-Ac-4,5-diMe phenol","2-Ph-4,5-diMe phenol","2,4,6-trimethyl phenol",2-tBu-5-Me phenol,"2-allyl-4,5-dimethyl phenol","2,6-ditBu phenol",N-Bn-2-OH carbazole
0,27.18197182,0,0,12.70780375,0,0,0,0,0,0,0,0,0,0,0,52.08349425,0,6.93213181,0
74.16271961,50.67507793,61.97395993,42.14711399,48.20801733,7.761713218,16.87597142,26.476069,4.938422978,4.764198057,14.51036378,4.62067686,4.044486268,13.93940311,41.06481355,59.92815145,4.858219659,87.80038649,16.37782965,0.260941626
60.82903306,43.44738715,43.55213541,40.43935937,59.43893205,43.21445388,4.187977661,103.0549756,36.66679256,4.430663571,8.459038829,6.636387165,8.766564173,0,32.1807273,25.56227092,0,97.69890351,7.032224599,1.517900615
73.14365714,40.80699278,51.05094534,13.38573279,14.51356195,26.62254023,14.52964166,24.7829952,2.428009557,2.079836852,5.782728858,18.74097062,4.767619394,3.626919509,25.71020608,76.4686215,19.89878383,42.39872846,52.91479684,2.050815164
56.54065121,41.48436066,22.78329197,16.10571506,58.87894862,22.91205937,6.014992651,17.01956204,12.95873955,4.478982134,1.822238139,9.847374692,2.342410212,1.87068869,14.83140362,76.43271618,12.33840299,61.18574264,49.21577676,5.365358622
76.92825413,52.77788104,39.19936904,21.71039801,27.86025247,44.2176595,21.06455385,18.30080722,5.260765051,4.518235713,0,3.852785803,2.582909596,0,34.8636631,52.50895149,14.85126968,41.30276839,65.90171262,6.011871706
66.81402012,51.41706941,37.88379811,20.03591811,38.89327317,11.47072582,16.01545053,7.700445092,2.297193354,4.911597203,2.60218331,4.036307444,0,2.064266381,9.527768026,51.63620277,11.57993773,7.691096366,58.31590661,6.202643776
75.24010967,57.33285526,45.27927003,25.31487492,56.29926865,6.901680358,23.43784795,0,0,3.065469035,0,0,1.846392051,0,26.11925318,50.72060088,29.88669666,25.2539851,66.93585785,5.46467997
7.746168559,9.754379401,7.002597296,5.210732999,30.26289295,0,6.120510264,0,0,7.490681521,0,5.11439046,0,0,2.128162086,0,76.08464186,3.288999747,7.799899053,6.384636061
64.69951678,51.44948459,46.45666906,21.90685844,56.91460695,12.67076974,17.4162328,29.36603817,2.827608427,16.71876149,4.125550855,13.69086592,0,0,24.44008638,28.37521715,78.622055,39.16269949,58.78310399,9.183850775
66.87975093,46.72684865,32.76876721,25.69971969,46.51942436,9.943841846,16.32949339,1.215241483,1.819859952,2.742597121,3.005961122,7.945406084,3.894465389,1.536253613,8.368845356,70.63966157,43.85471141,14.90411755,53.92010701,10.30054364
5.02152597,3.719664919,2.3937711,2.191829674,61.9153063,0,1.922485401,0,0,0,0,0,0,0,1.335331203,0,42.28839513,0,3.193495101,3.48675275
72.92029538,57.36119018,44.8939514,23.71567012,58.54320065,6.221828689,22.46370259,20.91980238,4.502903438,4.492856857,0,17.29567332,0,0,31.58420185,0,47.76276138,53.46704313,59.77467763,8.053866051
50.79016569,47.09219271,37.49909657,72.68327889,93.13995766,12.0375534,1.554462894,2.284247187,0,0,1.481690787,34.3531127,3.685029348,0,6.963683404,66.75953381,0,36.32925905,2.558103299,0
40.42933089,48.87823641,30.60570153,20.8742172,46.11461553,4.747029748,13.82621227,0,0,5.303689745,0,0,0,0,17.93515063,75.8090175,74.94786138,28.02670053,43.44108451,14.53216323
69.4878564,52.51281359,48.92398056,21.90997875,89.63860797,22.70589083,23.44072502,24.35491825,4.90847346,5.21117301,0,16.68442747,3.506231001,0,32.41304831,53.45723003,54.70616397,77.51181585,69.90560438,6.372734193
66.30379925,62.51474751,48.33668468,21.56680974,9.061704819,21.22290119,21.13145059,1.114464907,1.09972078,1.617221444,2.26872818,9.490661488,0,0,57.89606128,30.69239122,45.85957043,49.47332691,40.01495809,13.32154041
2.222376868,0,0,0,60.33277879,0,0,0,0,0,0,0,0,0,0,0,45.84271737,0,0,0.780315838
30.1271346,58.52051384,28.10625883,12.88914553,39.45104139,34.40939145,14.37669879,5.255461128,5.96432106,2.007244178,0,34.40592499,0,0,18.70784041,66.09314759,67.34663796,36.15014109,42.82090121,15.0183404
51.34620239,77.73482258,59.68894422,31.46899637,74.78114853,27.00452728,29.63052351,22.80387981,5.06028023,2.301240953,0,0,0,0,34.76083891,0,27.21068845,42.96878243,43.09445855,0.332210199
45.89267698,51.43947855,53.87228261,20.89043521,101.0181748,13.08309806,21.90404965,17.26248742,2.229567974,2.985693305,0,6.340335193,2.617162712,10.65734096,43.71550236,0,39.52645475,0,59.70829937,1.408521494
22.7831874,44.38249896,34.35474825,25.80861534,46.6889657,0,11.67533268,0,0,3.922133102,0,0,0,0,14.14809818,0,98.12330208,7.049211098,78.7969433,15.32148902
20.35056849,45.87880816,54.40121793,20.70604172,77.15096994,3.435044882,16.90744075,20.11478254,0.981245428,7.536711907,4.877986251,8.067344906,1.626682598,4.896082959,45.92483144,0,73.72374475,18.95403862,6.208259042,8.627353014
57.64524992,76.95708076,29.45445833,17.77672097,13.80075457,26.35996595,9.325049945,2.396337366,6.802381481,2.352425242,3.294750012,11.28667702,0,3.956700042,18.51251152,17.29395596,74.42657517,27.26089133,23.95005524,12.70321139